Time (s),USB Avg Current (mA),USB Avg Power (mW)
0.4240,583.304,2698.3643
0.4260,569.625,2644.1995
0.4280,543.372,2539.7207
0.4300,564.133,2616.4487
0.4320,565.301,2627.519
0.4340,571.762,2648.4016
0.4360,589.789,2722.4661
0.4380,567.252,2633.1841
0.4400,563.711,2621.2561
0.4420,564.866,2626.6272
0.4440,552.057,2577.0022
0.4460,574.408,2651.4675
0.4480,569.016,2644.7861
0.4500,575.216,2663.2502
0.4520,569.314,2637.0625
0.4540,573.948,2664.2666
0.4560,586.509,2715.5366
0.4580,577.626,2681.3398
0.4600,568.767,2632.2537
0.4620,547.833,2560.5713
0.4640,568.73,2636.6323
0.4660,572.855,2654.6099
0.4680,587.602,2715.8965
0.4700,571.327,2654.3853
0.4720,567.016,2638.8923
0.4740,566.941,2631.7402
0.4760,580.073,2676.4568
0.4780,565.574,2629.9189
0.4800,569.078,2645.0745
0.4820,572.37,2661.5205
0.4840,568.581,2635.9417
0.4860,570.78,2641.5698
0.4880,567.947,2636.4102
0.4900,587.64,2716.0723
0.4920,567.575,2638.0886
0.4940,544.279,2542.8713
0.4960,565.425,2629.2263
0.4980,567.078,2636.9128
0.5000,586.41,2712.7324
0.5020,568.159,2636.2576
0.5040,565.003,2618.2239
0.5060,565.102,2625.4639
0.5080,565.674,2631.5154
0.5100,549.236,2552.8489
0.5120,582.285,2698.3083
0.5140,643.586,2941.1882
0.5160,642.629,2936.8147
0.5180,566.133,2634.783
0.5200,563.388,2614.1204
0.5220,586.758,2709.6484
0.5240,562.704,2617.699
0.5260,573.911,2661.7993
0.5280,540.179,2524.7966
0.5300,562.965,2618.9133
0.5320,567.873,2625.8447
0.5340,586.758,2711.9956
0.5360,565.636,2625.6824
0.5380,563.027,2620.3274
0.5400,562.779,2618.0479
0.5420,564.009,2624.8977
0.5440,561.027,2607.6533
0.5460,563.76,2613.5916
0.5480,565.251,2622.7644
0.5500,565.91,2632.6133
0.5520,565.264,2627.3469
0.5540,569.799,2640.4485
0.5560,583.229,2705.0161
0.5580,565.612,2621.0459
0.5600,545.584,2542.4214
0.5620,559.35,2603.2146
0.5640,564.518,2625.0088
0.5660,585.975,2710.7202
0.5680,566.22,2626.1282
0.5700,564.332,2616.2432
0.5720,563.711,2622.3835
0.5740,563.86,2621.949
0.5760,575.688,2665.4355
0.5780,555.946,2590.7083
0.5800,563.885,2614.1709
0.5820,565.872,2632.4365
0.5840,565.636,2629.0759
0.5860,566.034,2634.322
0.5880,587.665,2718.5381
0.5900,565.003,2625.0039
0.5920,568.755,2642.4358
0.5940,540.999,2521.0554
0.5960,564.618,2613.052
0.5980,583.788,2697.1006
0.6000,574.135,2662.8381
0.6020,569.463,2644.5862
0.6040,568.482,2642.3042
0.6060,568.693,2644.4224
0.6080,573.339,2662.5862
0.6100,572.544,2654.3142
0.6120,568.494,2637.8123
